Unnamed: 0,created_at,id,text,user_location
9,Sun Jan 02 04:35:30 +0000 2022,1477498765485375489,We can only hope https://t.co/B4KkrXivxa,"New Westminster, BC"
23,Sun Jan 02 04:35:28 +0000 2022,1477498757126266884,RT @Azodoh: @EricTopol @NEJM Is the protection we get due to the  vaccine or due to reduced virulence of Omicron as a consequence of the nu…,United Kingdom
30,Sun Jan 02 04:35:30 +0000 2022,1477498761605697536,"@firedad065 I understand this, this is where I look for motivation that makes sense to me. Ivermectin may work, but it hasn't been shown to work. That's what I don't get, half the world is vaccinated against covid-19 and most side effects don't rise above what is normal within the standard..","Battle Creek, MI"
74,Sun Jan 02 04:35:33 +0000 2022,1477498775761473542,"RT @WWECreative_ish: ""Our roster is decimated by Covid and we're scrambling to fill this PPV"" - us
""Does this mean we're not stuck on the p…","Derby, England "
99,Sun Jan 02 04:35:34 +0000 2022,1477498781880963073,RT @anilkjain61: Don’t dismiss Omicron as ‘mild’. Take it from a Covid long-hauler | JD Davids https://t.co/s3Nr7949UZ,"Manchester, Northwest, UK"
156,Sun Jan 02 04:35:36 +0000 2022,1477498788352647168,"RT @chaser: Doctors inform Morrison he won't be forced to isolate following Covid contact, as there's zero risk of him being seen in public…","Merewether, Newcastle"
164,Sun Jan 02 04:35:38 +0000 2022,1477498795717967872,"RT @arslankhalid_m: There is no such law tht stopped provinces from procuring vaccines. Since Bakhtawar has mentioned, will she care to tel…","England, United Kingdom"
303,Sun Jan 02 04:35:41 +0000 2022,1477498808317714432,@JaliSkyx Any possible remedies to help the symptoms like cough drops work? So sorry you have to go through covid bby J. Hope it passes soon and u can feel better again 💕,Ignorance is bliss for you
356,Sun Jan 02 04:35:44 +0000 2022,1477498821626286086,RT @Burmese_Tyga_: Are we all in denial that the world is going to shits!? Human relationships and general mental health degenerating so ba…,"Houston, OpM "
369,Sun Jan 02 04:35:45 +0000 2022,1477498827590582276,"RT @RealDeanCain: I also have PERSONAL evidence that they worked great on me!  
This⬇️⬇️","East Sussex, England"
385,Sun Jan 02 04:35:50 +0000 2022,1477498848654331907,"RT @WWERomanReigns: I yearn to perform tonight at #WWEDay1 to defend my Universal Championship. However, unfortunately, earlier today I tes…","Lichfield, England"
437,Sun Jan 02 04:35:50 +0000 2022,1477498846003535873,RT @jorymicah: They did not even give us healthcare during a fucking pandemic. Wake up.,New Jerusalem
438,Sun Jan 02 04:35:48 +0000 2022,1477498838168576004,"@big_brody2017 @JackPrestonKing @tired_elle If you cared at all about your fellow americans you'd take basic measures to protect them, why would you be happy giving any of them covid?","#OLSX London, United Kingdom"
445,Sun Jan 02 04:35:50 +0000 2022,1477498848566255618,RT @gr8shotkeith: The Covid-19 treatment molnupiravir was developed partly using $29M from the NIH and the DoD. Merck is now selling the dr…,"Solihull, England"
